first;last;title;year
Tim;Robbins;The Shawshank Redemption;1994
Morgan;Freeman;The Shawshank Redemption;1994
Bob;Gunton;The Shawshank Redemption;1994
Marlon;Brando;The Godfather;1972
Al;Pacino;The Godfather;1972
James;Caan;The Godfather;1972
Robert;Duvall;The Godfather;1972
Richard;Castellano;The Godfather;1972
Al;Pacino;The Godfather: Part II;1974
Robert;Duvall;The Godfather: Part II;1974
Robert;De Niro;The Godfather: Part II;1974
Diane;Keaton;The Godfather: Part II;1974
Christian;Bale;The Dark Knight;2008
Heath;Ledger;The Dark Knight;2008
Aaron;Eckhart;The Dark Knight;2008
Michael;Caine;The Dark Knight;2008
Maggie;Gyllenhaal;The Dark Knight;2008
Morgan;Freeman;The Dark Knight;2008
Martin;Balsam;12 Angry Men;1957
John;Fiedler;12 Angry Men;1957
Jack;Warden;12 Angry Men;1957
Henry;Fonda;12 Angry Men;1957
Liam;Neeson;Schindler's List;1993
Ben;Kingsley;Schindler's List;1993
Ralph;Fiennes;Schindler's List;1993
Caroline;Goodall;Schindler's List;1993
Cate;Blanchett;The Lord of the Rings: The Return of the King;2003
Orlando;Bloom;The Lord of the Rings: The Return of the King;2003
Sean;Bean;The Lord of the Rings: The Return of the King;2003
Sean;Astin;The Lord of the Rings: The Return of the King;2003
Ian;McKellen;The Lord of the Rings: The Return of the King;2003
Ian;Holm;The Lord of the Rings: The Return of the King;2003
Elijah;Wood;The Lord of the Rings: The Return of the King;2003
Hugo;Weaving;The Lord of the Rings: The Return of the King;2003
Liv;Tyler;The Lord of the Rings: The Return of the King;2003
Ali;Astin;The Lord of the Rings: The Return of the King;2003
Viggo;Mortensen;The Lord of the Rings: The Return of the King;2003
John;Travolta;Pulp Fiction;1994
Samuel L.;Jackson;Pulp Fiction;1994
Bruce;Willis;Pulp Fiction;1994
Uma;Thurman;Pulp Fiction;1994
Rosanna;Arquette;Pulp Fiction;1994
Eli;Wallach;The Good, the Bad and the Ugly;1966
Clint;Eastwood;The Good, the Bad and the Ugly;1966
Lee;Van Cleef;The Good, the Bad and the Ugly;1966
Edward;Norton;Fight Club;1999
Brad;Pitt;Fight Club;1999
Zach;Grenier;Fight Club;1999
Meat;Loaf;Fight Club;1999
Sean;Bean;The Lord of the Rings: The Fellowship of the Ring;2001
Sean;Astin;The Lord of the Rings: The Fellowship of the Ring;2001
Cate;Blanchett;The Lord of the Rings: The Fellowship of the Ring;2001
Orlando;Bloom;The Lord of the Rings: The Fellowship of the Ring;2001
Ian;Holm;The Lord of the Rings: The Fellowship of the Ring;2001
Ian;McKellen;The Lord of the Rings: The Fellowship of the Ring;2001
Liv;Tyler;The Lord of the Rings: The Fellowship of the Ring;2001
Viggo;Mortensen;The Lord of the Rings: The Fellowship of the Ring;2001
Tom;Hanks;Forrest Gump;1994
Robin;Wright;Forrest Gump;1994
Mykelti;Williamson;Forrest Gump;1994


