car_name, model, mpg,  miles, gallons, price, dashmpg
TDI,Volkswagen Jetta,47.35,474.7,10.025,2.179,50.8
TDI,Volkswagen Jetta,43.7,536.4,12.276,2.159,46.1
TDI,Volkswagen Jetta,42.95,546.3,12.72,1.979,44.6
TDI,Volkswagen Jetta,42.52,478.9,11.262,1.899,46.0
TDI,Volkswagen Jetta,43.04,449.7,10.449,1.999,44.3
TDI,Volkswagen Jetta,46.08,606,13.151,2.099,49.3
TDI,Volkswagen Jetta,43.41,467.4,10.768,1.959,47.6
TDI,Volkswagen Jetta,39.32,507.5,12.907,1.979,40.9
TDI,Volkswagen Jetta,37.67,485.5,12.888,1.799,39.1
TDI,Volkswagen Jetta,38.11,485.5,12.74,1.799,38.4
TDI,Volkswagen Jetta,36.36,443.3,12.191,2.599,37.8
TDI,Volkswagen Jetta,42.5,447.8,10.537,2.199,44.8
TDI,Volkswagen Jetta,32.24,70,2.171,2.219,35.7
TDI,Volkswagen Jetta,42.81,506.8,11.839,2.219,45.3
TDI,Volkswagen Jetta,46.57,425.2,9.131,2.199,49.1
TDI,Volkswagen Jetta,40.28,458.3,11.379,2.499,42.3
TDI,Volkswagen Jetta,40.4,521.5,12.909,2.199,42.1
TDI,Volkswagen Jetta,43.75,552.6,12.63,2.599,46.5
TDI,Volkswagen Jetta,44.73,509.9,11.4,2.279,46.7
TDI,Volkswagen Jetta,42.07,522.8,12.427,2.279,44.1
TDI,Volkswagen Jetta,41.1,489.5,11.911,2.599,43.3
TDI,Volkswagen Jetta,39.71,470.2,11.842,2.458,40.9
TDI,Volkswagen Jetta,39.8,500.2,12.568,2.699,41.5
TDI,Volkswagen Jetta,46.65,343.4,7.361,2.699,50.9
TDI,Volkswagen Jetta,40.7,214.6,5.273,2.549,45.7
TDI,Volkswagen Jetta,43.06,554.6,12.879,2.219,47.3
TDI,Volkswagen Jetta,45.52,415.1,9.119,2.799,47.8
TDI,Volkswagen Jetta,41.58,238.6,5.738,2.699,44.3
TDI,Volkswagen Jetta,42.1,215.7,5.124,2.999,44.5
TDI,Volkswagen Jetta,41.45,407.3,9.826,3.799,46.5
TDI,Volkswagen Jetta,37.08,243.9,6.578,3.199,40.4
TDI,Volkswagen Jetta,38.76,422,10.889,3.419,39.5
TDI,Volkswagen Jetta,38.56,419.5,10.88,3.299,39.7
TDI,Volkswagen Jetta,33.53,185.1,5.521,3.349,36.0
TDI,Volkswagen Jetta,44.85,526.5,11.739,3.519,48.7
TDI,Volkswagen Jetta,45.18,559.6,12.385,3.259,49.1
TDI,Volkswagen Jetta,36.14,368.1,10.186,3.519,37.9
TDI,Volkswagen Jetta,36.46,410.1,11.248,3.399,37.7
TDI,Volkswagen Jetta,34.98,409.8,11.715,2.999,37.1
TDI,Volkswagen Jetta,36.29,421,11.602,3.139,37.9
TDI,Volkswagen Jetta,41.01,495.2,12.075,3.529,42.9
TDI,Volkswagen Jetta,36.15,472.2,13.061,2.939,37.9
TDI,Volkswagen Jetta,37.37,260.3,6.966,3.239,39.0
TDI,Volkswagen Jetta,45.02,515.6,11.454,2.999,47.5
TDI,Volkswagen Jetta,37.56,267.1,7.111,3.399,42.2
TDI,Volkswagen Jetta,35.55,407.8,11.472,2.999,36.6
TDI,Volkswagen Jetta,38.75,494.7,12.765,3.579,41.3
TDI,Volkswagen Jetta,41.68,523.1,12.552,3.899,43.4
TDI,Volkswagen Jetta,41.51,518,12.48,3.899,43.8
TDI,Volkswagen Jetta,36.95,486.1,13.156,4.299,38.9
HondaCivic,Honda Civic,31.78,334.5,10.524,1.999,
HondaCivic,Honda Civic,32.22,337.7,10.482,1.999,
HondaCivic,Honda Civic,33.72,332.1,9.848,1.819,
HondaCivic,Honda Civic,34.33,384.1,11.187,1.999,
HondaCivic,Honda Civic,33.75,372.4,11.034,1.949,
HondaCivic,Honda Civic,32.75,341.1,10.416,1.99,
HondaCivic,Honda Civic,34.31,354.4,10.328,1.999,
HondaCivic,Honda Civic,34.15,372,10.894,2.219,
HondaCivic,Honda Civic,29.73,237.7,7.995,2.299,
MazdaCX5,Mazda CX-5,31.38,371.6,11.844,2.279,31.7
MazdaCX5,Mazda CX-5,35.59,361.7,10.163,2.059,33.9
MazdaCX5,Mazda CX-5,36.81,391.9,10.648,1.999,36.3
MazdaCX5,Mazda CX-5,32.58,351.8,10.797,2.199,32.0
MazdaCX5,Mazda CX-5,30.57,357.4,11.693,1.919,32.0
MazdaCX5,Mazda CX-5,33.27,309.3,9.296,1.979,34.9
MazdaCX5,Mazda CX-5,33.1,347.9,10.512,2.419,31.1
MazdaCX5,Mazda CX-5,29.71,339.7,11.433,2.199,32.3
MazdaCX5,Mazda CX-5,33.69,325.6,9.665,2.149,30.7
MazdaCX5,Mazda CX-5,29.2,262.9,9.005,2.069,32.1
MazdaCX5,Mazda CX-5,30.28,326.9,10.796,2.299,30.6
MazdaCX5,Mazda CX-5,34.09,209.3,6.14,2.039,34.9
MazdaCX5,Mazda CX-5,34.81,256.3,7.362,2.099,33.4
MazdaCX5,Mazda CX-5,32.65,266.3,8.156,2.399,32.2
MazdaCX5,Mazda CX-5,39.18,288.3,7.358,2.199,35.3
MazdaCX5,Mazda CX-5,24.57,165.6,6.741,2.599,31.9
MazdaCX5,Mazda CX-5,34.76,263.7,7.587,1.999,31.4
MazdaCX5,Mazda CX-5,28.99,331.1,11.42,1.999,30.2
MazdaCX5,Mazda CX-5,30.31,336.4,11.097,2.099,
MazdaCX5,Mazda CX-5,31.25,229.5,7.344,1.839,32.3
MazdaCX5,Mazda CX-5,31.95,298.5,9.342,1.859,30.9
MazdaCX5,Mazda CX-5,32.4,322,9.937,1.839,31.9
MazdaCX5,Mazda CX-5,28.82,294.2,10.209,1.999,31.9
MazdaCX5,Mazda CX-5,31.86,341.9,10.73,2.099,31.4
MazdaCX5,Mazda CX-5,35.99,380.9,10.583,2.079,36.3
MazdaCX5,Mazda CX-5,32.97,358.7,10.881,1.999,33.4
MazdaCX5,Mazda CX-5,32.68,387,11.841,2.299,33.6
MazdaCX5,Mazda CX-5,33.23,364.8,10.978,2.159,33.6
MazdaCX5,Mazda CX-5,33.84,369.6,10.922,2.299,34.2
MazdaCX5,Mazda CX-5,34.15,398.8,11.677,2.099,33.1
MazdaCX5,Mazda CX-5,28.3,329.5,11.643,2.149,30.3
MazdaCX5,Mazda CX-5,29.94,333.9,11.152,2.199,29.8
MazdaCX5,Mazda CX-5,29.15,315.2,10.812,1.999,29.1
MazdaCX5,Mazda CX-5,27.58,287.1,10.41,1.999,28.7
MazdaCX5,Mazda CX-5,28.95,309.3,10.685,1.829,29.5
MazdaCX5,Mazda CX-5,27.06,283.3,10.471,1.779,26.5
MazdaCX5,Mazda CX-5,27.96,297.7,10.648,2.199,27.8
MazdaCX5,Mazda CX-5,27.43,315.4,11.497,2.349,28.6
MazdaCX5,Mazda CX-5,32.21,327.9,10.181,2.399,30.7
MazdaCX5,Mazda CX-5,29.78,329,11.049,2.299,29.4
MazdaCX5,Mazda CX-5,29.16,335,11.487,2.39,28.6
