date,week,block,weekemail,dayemail,signups,weekday
8/6/18,1,1,0,0,0,Monday
8/7/18,1,1,0,0,1,Tuesday
8/8/18,1,1,0,0,1,Wednesday
8/9/18,1,1,0,0,0,Thursday
8/10/18,1,1,0,0,0,Friday
8/11/18,1,1,0,0,0,Saturday
8/12/18,1,1,0,0,0,Sunday
8/13/18,2,1,2,0,0,Monday
8/14/18,2,1,2,1,1,Tuesday
8/15/18,2,1,2,1,3,Wednesday
8/16/18,2,1,2,0,1,Thursday
8/17/18,2,1,2,0,1,Friday
8/18/18,2,1,2,0,1,Saturday
8/19/18,2,1,2,0,0,Sunday
8/20/18,3,1,1,0,0,Monday
8/21/18,3,1,1,0,0,Tuesday
8/22/18,3,1,1,0,0,Wednesday
8/23/18,3,1,1,1,1,Thursday
8/24/18,3,1,1,0,0,Friday
8/25/18,3,1,1,0,0,Saturday
8/26/18,3,1,1,0,0,Sunday
8/27/18,4,2,2,0,1,Monday
8/28/18,4,2,2,0,1,Tuesday
8/29/18,4,2,2,1,2,Wednesday
8/30/18,4,2,2,1,1,Thursday
8/31/18,4,2,2,0,0,Friday
9/1/18,4,2,2,0,0,Saturday
9/2/18,4,2,2,0,0,Sunday
9/3/18,5,2,0,0,0,Monday
9/4/18,5,2,0,0,3,Tuesday
9/5/18,5,2,0,0,1,Wednesday
9/6/18,5,2,0,0,1,Thursday
9/7/18,5,2,0,0,0,Friday
9/8/18,5,2,0,0,0,Saturday
9/9/18,5,2,0,0,0,Sunday
9/10/18,6,2,1,0,1,Monday
9/11/18,6,2,1,0,1,Tuesday
9/12/18,6,2,1,1,1,Wednesday
9/13/18,6,2,1,0,1,Thursday
9/14/18,6,2,1,0,0,Friday
9/15/18,6,2,1,0,0,Saturday
9/16/18,6,2,1,0,0,Sunday
9/17/18,7,3,2,0,0,Monday
9/18/18,7,3,2,0,0,Tuesday
9/19/18,7,3,2,0,2,Wednesday
9/20/18,7,3,2,1,1,Thursday
9/21/18,7,3,2,1,1,Friday
9/22/18,7,3,2,0,0,Saturday
9/23/18,7,3,2,0,2,Sunday
9/24/18,8,3,0,0,1,Monday
9/25/18,8,3,0,0,2,Tuesday
9/26/18,8,3,0,0,1,Wednesday
9/27/18,8,3,0,0,3,Thursday
9/28/18,8,3,0,0,1,Friday
9/29/18,8,3,0,0,0,Saturday
9/30/18,8,3,0,0,0,Sunday
10/1/18,9,3,1,0,0,Monday
10/2/18,9,3,1,0,0,Tuesday
10/3/18,9,3,1,0,1,Wednesday
10/4/18,9,3,1,1,2,Thursday
10/5/18,9,3,1,0,0,Friday
10/6/18,9,3,1,0,0,Saturday
10/7/18,9,3,1,0,0,Sunday
10/8/18,10,4,1,0,1,Monday
10/9/18,10,4,1,0,0,Tuesday
10/10/18,10,4,1,0,0,Wednesday
10/11/18,10,4,1,1,5,Thursday
10/12/18,10,4,1,0,1,Friday
10/13/18,10,4,1,0,1,Saturday
10/14/18,10,4,1,0,0,Sunday
10/15/18,11,4,0,0,0,Monday
10/16/18,11,4,0,0,0,Tuesday
10/17/18,11,4,0,0,0,Wednesday
10/18/18,11,4,0,0,1,Thursday
10/19/18,11,4,0,0,1,Friday
