"Date","MEM.Max.TemperatureF","MEM.Mean.TemperatureF","MEM.Min.TemperatureF","LIT.MEM.Max.TemperatureF","LIT.MEM.Mean.TemperatureF","LIT.MEM.Min.TemperatureF","XNA.MEM.Max.TemperatureF","XNA.MEM.Mean.TemperatureF","XNA.MEM.Min.TemperatureF","TYS.MEM.Max.TemperatureF","TYS.MEM.Mean.TemperatureF","TYS.MEM.Min.TemperatureF","BNA.MEM.Max.TemperatureF","BNA.MEM.Mean.TemperatureF","BNA.MEM.Min.TemperatureF"
"2016-1-1",47,39,31,46,40,34,42,33,24,42,37,31,45,39,32
"2016-1-2",51,39,27,54,42,29,48,36,23,47,36,25,51,38,24
"2016-1-3",55,43,30,55,45,34,48,36,24,48,37,26,55,42,29
"2016-1-4",40,35,29,40,34,27,39,30,21,38,32,26,39,33,27
"2016-1-5",47,37,26,42,34,26,43,33,23,41,32,22,44,34,24
"2016-1-6",52,42,31,50,40,29,46,38,30,44,32,20,48,37,25
"2016-1-7",52,45,37,47,44,40,50,46,42,56,41,26,56,42,28
"2016-1-8",58,54,50,63,55,47,50,44,39,58,51,43,59,53,47
"2016-1-9",57,46,35,54,46,37,39,29,19,53,45,37,57,52,46
"2016-1-10",36,28,20,35,31,26,26,18,10,50,36,21,48,33,17
"2016-1-11",44,31,18,46,35,23,43,30,16,36,26,15,40,27,13
"2016-1-12",52,42,31,55,44,33,48,38,26,46,38,29,49,36,23
"2016-1-13",58,43,28,60,45,29,57,40,24,40,31,21,44,32,20
"2016-1-14",63,51,38,63,53,42,61,50,39,57,43,28,62,49,36
"2016-1-15",65,53,41,64,52,40,54,42,30,46,38,30,52,47,42
"2016-1-16",45,39,33,42,38,33,39,32,23,47,41,35,43,39,34
"2016-1-17",45,36,27,50,39,27,28,22,17,37,34,30,42,31,19
"2016-1-18",30,26,21,30,26,22,30,20,10,31,24,16,25,19,12
"2016-1-19",37,29,20,34,28,22,36,30,25,28,21,13,28,21,14
"2016-1-20",39,36,33,33,31,29,33,30,28,29,25,21,33,31,28
"2016-1-21",39,37,34,32,31,30,34,31,27,40,35,29,36,33,30
"2016-1-22",36,33,30,40,35,29,37,30,23,38,32,26,35,31,26
"2016-1-23",39,32,25,37,33,28,39,32,25,28,26,23,30,24,17
"2016-1-24",50,37,23,45,35,25,52,40,28,41,29,16,39,26,12
"2016-1-25",64,51,38,63,51,38,60,48,37,55,41,26,56,42,28
"2016-1-26",51,44,37,53,44,35,45,36,27,49,44,38,57,45,33
"2016-1-27",47,38,28,48,38,28,51,35,19,41,35,28,43,35,26
"2016-1-28",58,42,25,66,48,29,62,48,35,49,38,26,55,38,20
"2016-1-29",63,48,33,69,52,34,69,50,30,49,41,32,52,42,32
"2016-1-30",69,58,47,71,60,48,69,58,48,65,46,26,69,51,32
"2016-1-31",73,67,61,73,66,58,66,54,39,65,55,44,72,63,54
"2016-2-1",67,59,51,61,56,51,62,48,35,66,59,52,64,55,46
"2016-2-2",75,66,57,73,62,50,61,48,35,75,63,50,75,61,46
"2016-2-3",58,47,36,52,44,35,42,34,25,69,58,46,60,51,41
"2016-2-4",47,39,30,51,40,29,45,32,19,47,40,33,44,37,29
"2016-2-5",55,41,27,53,45,36,52,38,25,45,35,25,50,37,23
"2016-2-6",55,44,33,57,44,30,54,42,30,48,38,27,54,40,27
"2016-2-7",59,45,31,61,46,31,52,44,36,52,39,26,58,43,27
"2016-2-8",48,42,36,52,45,37,39,36,30,50,40,30,48,38,27
"2016-2-9",41,35,28,51,42,33,39,32,21,30,26,22,27,24,21
"2016-2-10",43,34,24,54,41,27,53,36,18,30,25,19,31,25,19
"2016-2-11",54,42,30,54,43,31,54,42,30,43,34,25,44,35,26
"2016-2-12",54,44,33,64,48,32,50,39,28,36,33,29,46,37,27
"2016-2-13",40,34,28,46,39,31,48,38,28,32,26,20,33,27,20
"2016-2-14",54,42,29,53,43,33,43,39,35,27,23,19,39,33,27
"2016-2-15",48,43,38,55,47,38,59,47,35,37,32,27,44,39,33
"2016-2-16",59,49,39,68,55,42,52,44,34,42,37,32,46,42,37
"2016-2-17",57,45,33,59,47,34,64,45,26,42,39,36,43,37,31
"2016-2-18",70,55,40,72,56,40,73,55,37,55,42,28,62,45,27
"2016-2-19",71,63,55,73,65,56,70,62,55,66,48,30,72,62,51
"2016-2-20",68,65,62,66,64,61,73,62,51,59,57,54,69,65,61
"2016-2-21",71,65,59,75,69,62,69,58,46,62,59,55,67,62,56
"2016-2-22",59,53,47,60,53,45,59,48,37,61,56,51,57,52,47
"2016-2-23",54,50,46,48,45,41,45,40,34,56,53,49,59,52,45
"2016-2-24",48,43,38,48,42,36,57,46,35,63,50,36,59,48,37
"2016-2-25",50,43,36,49,43,36,42,36,30,41,38,35,43,40,36
"2016-2-26",51,41,30,57,43,29,52,36,19,45,38,31,50,41,32
"2016-2-27",66,52,37,71,53,35,68,54,39,52,40,28,62,45,28
"2016-2-28",70,59,47,69,58,46,69,58,46,66,50,33,70,55,40
"2016-2-29",71,60,48,67,57,47,69,50,30,66,60,53,67,56,45
"2016-3-1",63,53,42,67,55,43,60,48,36,67,53,38,66,51,36
"2016-3-2",55,45,35,58,47,35,62,45,28,45,37,28,49,41,32
"2016-3-3",56,51,45,65,56,46,59,49,39,41,35,28,42,39,36
"2016-3-4",58,50,41,62,52,41,66,49,32,48,43,37,50,42,34
"2016-3-5",70,56,42,75,58,41,72,56,39,57,44,30,65,48,30
"2016-3-6",72,57,42,75,60,44,71,58,45,61,47,32,66,50,33
"2016-3-7",72,64,55,71,64,56,64,62,60,70,52,34,72,61,50
"2016-3-8",79,70,60,77,68,59,64,55,46,73,56,39,76,64,51
"2016-3-9",63,62,60,60,59,58,64,55,46,79,62,44,77,69,60
"2016-3-10",65,60,54,66,61,56,57,52,46,81,67,52,76,69,62
"2016-3-11",61,58,54,53,52,50,55,50,46,76,69,62,62,59,56
"2016-3-12",71,65,59,64,59,53,64,58,52,82,70,58,76,68,59
"2016-3-13",71,64,57,71,62,53,71,60,48,72,66,59,73,65,57
